 0.53534823  0.09035447 -0.07000452  0.09146756|0.53534815 0.09036015 0.53534815 0.53534815| 0.53534815  0.04469842 -0.01886131 -0.02886623 -0.03115281  0.025048  0.01355581, 0.09036015 -0.0482189   0.00950086 -0.03447409  0.03195017  0.03802321  0.04999218
-0.08263866 -0.2054368  -0.04523907 -0.06956105|-0.08263613 -0.20543708 -0.08263613 -0.08263613|-0.08263613  0.02502614  0.00923059 -0.01696935  0.01672336 -0.02155708 -0.01865686,-0.20543708  0.00383691 -0.03486537  0.042507    0.04000203  0.01047967  0.01284656
 0.15979822 -0.31576258  0.06360397  0.12713305| 0.15979512 -0.3157627   0.15979512  0.15979512| 1.59795117e-01 -4.45658832e-05 -4.65605901e-02 -3.41640570e-02  2.19709370e-02 -3.55749007e-03  1.61510798e-02,-0.3157627  -0.08411405 -0.00177149 -0.01615329  0.08469739  0.04168718 -0.01107145
 0.20217386 -0.73907124  0.07379237  0.08327662| 0.2021738  -0.73907121  0.2021738   0.2021738 | 0.2021738  -0.03032435 -0.01620546  0.02822151  0.0415346   0.0230862  0.03658183,-0.73907121 -0.01153631  0.00788982  0.01840074 -0.03268491  0.07334087  0.01409688
 0.8148759  -0.38467815  0.06789951  0.0516357 | 0.81487594 -0.38467738  0.81487594  0.81487594| 0.81487594 -0.01126831  0.00546736  0.02258202 -0.00360989  0.04775995  0.04279133,-0.38467738  0.03657703 -0.01271525 -0.00841162  0.01517159 -0.0280149  0.01098087
-0.60432312  0.0296214  -0.10856395 -0.54530878|-0.60432441  0.1457293  -0.60432441 -0.60432441|-0.60432441 -0.03801553 -0.03065615  0.01578354  0.04693852 -0.05632954  0.06431038, 0.1457293  -0.01282205  0.01766769  0.0128419   0.01065442  0.05466102  0.03493565
-0.30217442  0.13300013 -0.07223531 -0.10384702|-0.30217427  0.13299709 -0.30217427 -0.30217427|-0.30217427 -0.05516394  0.006131    0.00779357 -0.03376992 -0.01748525  0.02641359, 0.13299709  0.01216118  0.03604676  0.03809491  0.06046278  0.06632665 -0.0100771 
-0.03626459  0.30537621 -0.08223166 -0.07099868|-0.0362289   0.30537689 -0.0362289  -0.0362289 |-0.0362289  -0.03406792 -0.05627179 -0.01182484 -0.00012375  0.02994705  0.03903395, 0.30537689 -0.04484815 -0.02966823 -0.00344518  0.02274467  0.04105747 -0.00300436
 0.21893573 -0.24423028  0.04286075  0.07495263| 0.21893373 -0.24423137  0.21893373  0.21893373| 0.21893373 -0.00929545  0.00471528  0.03655131  0.01482913  0.01417538 -0.00293083,-0.24423137 -0.02007574  0.05588269 -0.01035546  0.04122734 -0.00565527  0.01737011
-0.4244792   0.65432959 -0.06929597 -0.07800232|-0.42447797  0.65432966 -0.42447797 -0.42447797|-0.42447797 -0.01408675  0.05435533  0.0145999  -0.02671053 -0.0262217 -0.00937615, 0.65432966  0.01133958  0.03714995  0.01690476 -0.01877288 -0.02401962  0.05958541
 0.15549554 -0.72169744  0.10755172  0.04979692| 0.15549486 -0.72169749  0.15549486  0.15549486| 0.15549486  0.06228815 -0.05013988  0.0096972  -0.05070367  0.05161862 -0.00224293,-0.72169749  0.02769316 -0.01659834  0.0037896   0.03486966  0.0045751  0.01481887
