-0.37604704  1.14633189  0.07968111 -0.09599034|-0.37604529  1.14633187 -0.37604529 -0.37604529|-0.37604529  0.03809629  0.03490773  0.03076503 -0.02521875 -0.0171345 -0.0439387 , 1.14633187 -0.00368789 -0.007439    0.00503543  0.08697846 -0.04136002  0.00772589
-0.46277521 -0.29894595 -0.08087751  0.06214187|-0.46277659 -0.29894521 -0.46277659 -0.46277659|-0.46277659  0.02679207 -0.04430849 -0.01102653 -0.01709407 -0.04719764  0.03712224,-0.29894521  0.01858806 -0.00483179 -0.01996613 -0.04587202 -0.03240442  0.00525592
 0.37475686 -0.40524783 -0.05332686  0.04922615| 0.37475679 -0.40524741  0.37475679  0.37475679| 0.37475679  0.02534209  0.00762709  0.01267355 -0.00090392 -0.04421112  0.01065661,-0.40524741  0.00366373  0.01179267  0.01307647  0.00626417  0.04634778  0.00052619
0.3075173  0.14571977 0.06845664 0.0440942 |0.30751724 0.14572136 0.30751724 0.30751724| 0.30751724 -0.03084491  0.00457088  0.04764235  0.02796149 -0.026814 -0.00547173, 0.14572136  0.00505     0.00240838  0.02078906 -0.03777774  0.00706506 -0.00652514
 1.04266234 -0.76393724  0.09475504 -0.09861914| 1.0426623 -0.7639371  1.0426623  1.0426623| 1.0426623   0.02447787 -0.07354018 -0.02163172 -0.01490154  0.04830604 -0.00778947,-7.63937101e-01  2.25426511e-02 -1.94997180e-02 -3.02828511e-02  8.28037471e-02  7.30227963e-04  3.55863892e-02
-0.39478767  0.44974718  0.08672256 -0.07194095|-0.39478346  0.44974448 -0.39478346 -0.39478346|-0.39478346 -0.02153036  0.03171078  0.01775341  0.07159589  0.02645818  0.00709032,0.44974448 0.05604077 0.01236746 0.00936499 0.03847392 0.00702664 0.01754502
 0.5956091   0.21859529 -0.06850515 -0.0616999 |0.59560909 0.21859542 0.59560909 0.59560909| 5.95609093e-01 -2.78816185e-02  3.12545578e-03  4.25088168e-02  2.86088350e-03  3.21608443e-04 -4.71402512e-02, 0.21859542 -0.03855122 -0.00168017 -0.00970814  0.01778267 -0.03890552  0.02192092
-0.22067835  0.50139521  0.05111754 -0.05830479|-0.22067878  0.50139519 -0.22067878 -0.22067878|-0.22067878  0.00740537 -0.00539565  0.00627423 -0.02674812 -0.01064009 -0.0419407 , 0.50139519 -0.04092115  0.00825363 -0.02962819 -0.01940885 -0.01899341  0.00894736
 0.51623009 -0.13673655  0.07538917  0.08018157| 0.51623027 -0.13670054  0.51623027  0.51623027| 0.51623027  0.01394126  0.03674028  0.03179284 -0.03028542 -0.04672879 -0.01262446,-0.13670054  0.02962636 -0.00698223  0.00349091  0.05633195  0.02190856  0.04479945
 0.1742359  -0.33686278  0.12615832  0.08203716| 0.17423415 -0.33686314  0.17423415  0.17423415| 0.17423415 -0.00962944  0.04707721 -0.01973817 -0.10333447  0.05287296 -0.00915851,-0.33686314 -0.05309824 -0.0253887   0.03583429 -0.01999271  0.02831365 -0.02963049
-0.10614824  0.50473717 -0.04894352 -0.0936461 |-0.10614834  0.50473713 -0.10614834 -0.10614834|-0.10614834  0.0203959   0.01404043  0.03335073  0.00631686 -0.00646519 -0.02529123, 0.50473713  0.01649533  0.06523199 -0.01641062 -0.04137827 -0.04434455  0.02066953
 0.47240487 -0.01654703  0.05872843  0.34019901| 0.47240534 -0.06280456  0.47240534  0.47240534| 0.47240534  0.03426795  0.02524283 -0.00726778 -0.01235185  0.02117688  0.03244982,-0.06280456  0.00634164 -0.04523086 -0.02619401 -0.01860815 -0.02736498 -0.01881321
-0.77712236  0.32788061 -0.07031724 -0.09831054|-0.77712234  0.32788064 -0.77712234 -0.77712234|-0.77712234  0.01881296  0.05217823  0.01937353 -0.01454954  0.02474239  0.02719127, 0.32788064 -0.04640995  0.03790904 -0.0233201  -0.0007759  -0.06636239  0.03694238
-0.50383258  0.0371151  -0.1064814  -0.06413347|-0.50383259  0.03726067 -0.50383259 -0.50383259|-0.50383259 -0.03804032 -0.09186566 -0.01562158 -0.00916891 -0.01171579  0.03243412, 0.03726067  0.0196584  -0.03333156  0.00586    -0.02308554  0.00580994  0.04573208
-0.30944743  0.16093684  0.06509958  0.09618949|-0.30944756  0.16093772 -0.30944756 -0.30944756|-0.30944756 -0.02890899 -0.00049537 -0.03080302  0.01586893 -0.04777102 -0.0058129 , 0.16093772 -0.05984927 -0.0258076  -0.003374    0.00185727  0.04797641  0.05387249
