 0.59576166  0.3170053   0.05040456 -0.07883893|0.59576123 0.31700591 0.59576123 0.59576123| 0.59576123  0.01720315 -0.00488787 -0.01285325  0.02340036  0.01189536  0.03808971, 0.31700591 -0.02598546 -0.03321999  0.03213435  0.00881704  0.05331598 -0.025335  
 0.02894454 -0.16360375  0.07515387  0.11914692| 0.02880672 -0.16360342  0.02880672  0.02880672| 0.02880672  0.01866637 -0.04335822  0.01209904  0.03330302 -0.0205749 -0.04449503,-0.16360342  0.07231867 -0.05264263  0.06163224  0.03674345 -0.03290387 -0.0100105 
 0.23069592 -0.6969743   0.08136806  0.09760682| 0.230691   -0.69697444  0.230691    0.230691  | 0.230691    0.03513806  0.05496018 -0.01964781  0.03411201 -0.02361134  0.01808013,-0.69697444 -0.05497998  0.03094328  0.00434216  0.01298683 -0.07147332  0.02172212
-0.59445809 -0.43097906  0.05794761  0.06297483|-0.59445818 -0.43097907 -0.59445818 -0.59445818|-0.59445818 -0.01725899  0.04711421  0.01765962  0.02283959 -0.00464833 -0.00203552,-0.43097907  0.00166899 -0.0126146   0.02348761  0.01281125  0.05198178 -0.0229589 
-0.11582884 -0.22802221 -0.06466866 -0.06185868|-0.11583213 -0.22802211 -0.11583213 -0.11583213|-0.11583213 -0.01968464  0.00688853 -0.03947303  0.02860767  0.00618024  0.03797607,-0.22802211 -0.01202261  0.0004849  -0.01636832  0.03832166 -0.00469866 -0.04523683
 0.25195413  0.20604967 -0.04619106 -0.05959169|0.25195488 0.20605227 0.25195488 0.25195488| 0.25195488 -0.01432448 -0.00244283 -0.01992071  0.00233647  0.01009082  0.03868379, 0.20605227 -0.02155657 -0.01680713  0.04405219 -0.02816471 -0.00722202 -0.00846723
0.11346555 0.21826496 0.08038826 0.06778599|0.11349311 0.21827003 0.11349311 0.11349311| 0.11349311  0.03391963  0.05169615  0.00564747  0.01445486 -0.01757216 -0.04699253, 0.21827003 -0.03501272 -0.04439699  0.00351027 -0.03032911  0.0072382  0.02128772
-0.08308779 -0.20876356 -0.10570078 -0.05253706|-0.08309935 -0.2087635  -0.08309935 -0.08309935|-0.08309935 -0.00202631  0.00018859  0.00507152  0.06729552  0.07930062 -0.02635911,-0.2087635   0.00072992 -0.00533857  0.03139066 -0.00636843  0.0177972 -0.03851869
 0.54443696 -0.94747858  0.05442925  0.09437374| 0.54444022 -0.94747853  0.54444022  0.54444022| 0.54444022  0.01981318 -0.0172082  -0.01900163  0.019961   -0.03925946 -0.00711298,-0.94747853 -0.00197654  0.00260165 -0.04052584  0.06935677 -0.02226989  0.04672205
-0.4096053  -0.16225773 -0.09432218 -0.06479538|-0.40960414 -0.16227065 -0.40960414 -0.40960414|-0.40960414 -0.01537221  0.014448   -0.04310217  0.02461765 -0.04670143 -0.06421082,-0.16227065  0.04795995 -0.02449434  0.02392651  0.00254788  0.02709452  0.00512183
-0.47914312  0.38990834 -0.05243294  0.0564131 |-0.47914315  0.38990835 -0.47914315 -0.47914315|-0.47914315  0.02839169 -0.02480075  0.01690205  0.01264407  0.02944778  0.00783738, 0.38990835  0.01199548  0.00415527 -0.03300458 -0.03364284  0.02929664 -0.0040564 
