-0.12415499 -0.12129705 -0.0928558  -0.10814305|-0.1241549  -0.12129797 -0.1241549  -0.1241549 |-0.1241549  -0.00604189  0.04336971 -0.01678179 -0.03252654 -0.03334522 -0.0672792 ,-0.12129797  0.05179931 -0.06391043  0.04047227 -0.01512505  0.00234889  0.05679681
 0.14660392 -0.50922325  0.04626738  0.10804255| 0.14660401 -0.50922325  0.14660401  0.14660401| 0.14660401 -0.00955229  0.01424425 -0.01452795 -0.03322738  0.02237363 -0.00897086,-0.50922325 -0.0285149   0.02799475  0.07345893  0.0084945   0.00117414 -0.07010827
-0.84054589 -0.17532546 -0.07932687 -0.10024579|-0.84054589 -0.17532594 -0.84054589 -0.84054589|-0.84054589 -0.01598359  0.00483244 -0.06423552  0.04044542 -0.01440481 -0.01293241,-0.17532594  0.09099639  0.01956729 -0.00766387 -0.00866715 -0.03284052  0.01489291
-0.2066526   0.51042147 -0.03841074 -0.08056294|-0.2066533   0.51042147 -0.2066533  -0.2066533 |-0.2066533  -0.02055395 -0.00969769 -0.001205   -0.00952755  0.01647422  0.02522014, 0.51042147  0.00617789 -0.00476456  0.04114039 -0.00976893 -0.06799705  0.01548031
0.29340284 0.54391468 0.04858986 0.06743551|0.29340335 0.54391464 0.29340335 0.29340335| 0.29340335 -0.03050094 -0.00967624  0.02922504 -0.00874904  0.00439428 -0.0206066 , 0.54391464 -0.0593935   0.0197631   0.02281193 -0.00895785 -0.00614542  0.00058339
 0.25654245  0.29376049 -0.06386277 -0.06726216|0.25654245 0.29376049 0.25654245 0.25654245| 0.25654245 -0.02529716  0.00245511  0.05261097  0.00825335  0.0158549 -0.02061926, 0.29376049 -0.0179974  -0.02826794  0.0154014  -0.03407451  0.02161685  0.04064952
-0.35645656 -0.70975917 -0.10023135 -0.07582606|-0.35645661 -0.70975917 -0.35645661 -0.35645661|-0.35645661  0.01849102 -0.00368569 -0.05234614 -0.04444314  0.06804751 -0.02543285,-0.70975917  0.01210558  0.0217597   0.02998988 -0.06360418 -0.00617029 -0.01588807
-0.00051871 -0.15425734 -0.07489892 -0.08406516|-0.00052005 -0.15425734 -0.00052005 -0.00052005|-0.00052005  0.0023814   0.02586093  0.05971478  0.01098172 -0.0269631  0.02267088,-0.15425734  0.01895557 -0.04303134  0.03836301  0.01512323 -0.05426463 -0.01927138
 0.21969836 -0.50332195  0.09416134  0.10155995| 0.21973651 -0.5033192   0.21973651  0.21973651| 0.21973651 -0.02133634  0.00829713 -0.06702314 -0.03663152  0.04897072  0.01797265,-0.5033192   0.01632282 -0.02129653  0.04342891  0.01506301 -0.0448376 -0.076436  
0.39039248 0.82895536 0.08317046 0.06591802|0.39038848 0.82895542 0.39038848 0.39038848| 0.39038848  0.05238316 -0.00491761  0.00718349  0.01100703  0.03940576  0.05104919, 0.82895542 -0.0121939  -0.02566076 -0.03068412  0.04854696 -0.01008969 -0.01458853
-0.27708891 -0.29686486  0.0812274   0.08441783|-0.27708892 -0.29686487 -0.27708892 -0.27708892|-0.27708892  0.03280367  0.03523312 -0.00368923  0.03008312  0.01948225 -0.0561926 ,-0.29686487  0.03806459 -0.0146051  -0.04421095  0.0027579  -0.04716318  0.03822157
-0.23632458  0.22763002 -0.10248565 -0.0599332 |-0.23632109  0.2276321  -0.23632109 -0.23632109|-0.23632109  0.01372132 -0.07396057  0.0547946   0.03047818 -0.01452801 -0.02873178, 2.27632096e-01 -6.07628372e-03  4.95396474e-05  5.43633758e-02 -3.82688484e-03  2.55786962e-02  2.76378823e-03
0.91953605 0.21387974 0.08876717 0.0750434 |0.91953547 0.21388957 0.91953547 0.91953547| 0.91953547 -0.0494554   0.01903171 -0.00539787 -0.02024471  0.05758574  0.03906229, 0.21388957  0.02212406 -0.01781779 -0.02880539 -0.01124851 -0.06189579 -0.01460076
-0.36548643 -0.03354701 -0.08213065 -0.06970221|-0.36548643 -0.03354799 -0.36548643 -0.36548643|-0.36548643 -0.05554087  0.01991244  0.02068415  0.02293421  0.02592997 -0.04197338,-0.03354799  0.05044938  0.02504771 -0.02432226  0.01852931 -0.02101775  0.01873029
-0.69607546  0.15656179 -0.08406784 -0.02510993|-0.69607542  0.15656195 -0.69607542 -0.69607542|-0.69607542 -0.01624287 -0.02256622 -0.06668111  0.03200496  0.02071157  0.02316564, 0.15656195 -0.00958641 -0.00441176 -0.00132203 -0.01789885  0.01395694  0.00409453
 0.17016762 -0.36652986  0.0694144   0.09898789| 0.1701709  -0.36652844  0.1701709   0.1701709 | 0.1701709  -0.00965615 -0.03854556 -0.01017699 -0.01551978  0.00378843  0.05499358,-3.66528440e-01  7.35709223e-02  1.25633728e-02  1.27977728e-03  6.17930312e-02 -2.22961837e-02 -1.12019653e-04
0.32437786 0.81510802 0.07494831 0.08567056|0.3243781  0.81510812 0.3243781  0.3243781 | 0.3243781  -0.03122459  0.02871171 -0.01086707  0.02522607  0.01196853  0.05548636, 8.15108119e-01  1.95505308e-04  2.33349649e-02 -6.53698762e-03 -1.58488218e-02  2.89162492e-02 -7.72269412e-02
 0.09832893 -0.17340978  0.09245637  0.07529081| 0.09833166 -0.17340861  0.09833166  0.09833166| 0.09833166 -0.03783323 -0.03614988 -0.03454502 -0.02497114  0.06148998 -0.02039779,-0.17340861  0.03231206  0.02305456 -0.04904651 -0.00586327 -0.03995354  0.01295856
0.59827654 0.32554023 0.03642466 0.0869181 |0.59827638 0.32554367 0.59827638 0.59827638| 5.98276382e-01 -3.04432508e-02  1.38481684e-02  3.51152512e-03 -9.55352888e-03 -8.14541447e-06  1.05640063e-02, 0.32554367  0.06662028  0.04260641 -0.01499555 -0.01073248  0.03158949 -0.00194581
 0.76735114 -0.96357581  0.08332804 -0.09062134| 0.76735113 -0.96357581  0.76735113  0.76735113| 0.76735113 -0.01598651 -0.00961055  0.02308916  0.0383545  -0.01392144  0.06820164,-9.63575806e-01  6.44432604e-04  1.27116578e-02 -2.03150918e-03 -7.20035933e-02  5.30815523e-02  1.62896072e-02
-0.36011112  0.31447464 -0.05968931 -0.09109496|-0.36011174  0.31447431 -0.36011174 -0.36011174|-3.60111740e-01  2.59805248e-03  1.11760587e-04 -1.41618094e-03  4.54042737e-02  3.99659217e-02 -4.05867418e-04, 0.31447431 -0.02175337 -0.02493185 -0.0771195   0.01866605 -0.0315858 -0.00774481
0.12011333 0.02965329 0.07666477 0.05092689|0.12011336 0.02965322 0.12011336 0.12011336| 0.12011336 -0.03925116  0.04181146 -0.01023412  0.02313264 -0.04490336 -0.00529671, 0.02965322  0.03625255  0.00538236  0.00774981  0.02855862 -0.01683928 -0.01110366
-0.01948873  0.34709503 -0.1159894  -0.03869636|-0.01948414  0.34709505 -0.01948414 -0.01948414|-0.01948414 -0.07233156  0.03922773  0.03742827 -0.07162633  0.00904917  0.01449846, 0.34709505 -0.00257859  0.00319787  0.01706759 -0.01640663 -0.01080688  0.02924737
 0.68304206 -0.47564362  0.07691545  0.12813549| 0.68303982 -0.47565165  0.68303982  0.68303982| 0.68303982  0.06446928 -0.0046346   0.00904645 -0.00136019 -0.00647054 -0.04111745,-4.75651648e-01  1.05229393e-01 -2.31996896e-02 -1.15332793e-02  2.28549651e-04 -6.80752239e-02  1.48298805e-02
0.03031056 0.19231505 0.0764288  0.0527135 |0.03031007 0.19231517 0.03031007 0.03031007| 0.03031007  0.01388269  0.04064485  0.03126281  0.01567384 -0.04197572 -0.0340097 , 0.19231517 -0.01457302  0.00359953  0.00892302 -0.02890751 -0.01964461  0.03665153
 0.24859349 -0.25033174  0.05011785  0.05357643| 0.24859715 -0.25033101  0.24859715  0.24859715|0.24859715 0.00853383 0.03604926 0.00137718 0.00661034 0.01694049 0.02929026,-0.25033101 -0.00740174 -0.02277149  0.02791445  0.01426073 -0.03614312 -0.00892206
0.14275301 0.40355949 0.08177507 0.08327128|0.14275464 0.40356016 0.14275464 0.14275464| 0.14275464 -0.03515257  0.02172288  0.02107133 -0.04361955 -0.05030458  0.01618798, 0.40356016  0.01714506  0.02912507 -0.03509768 -0.02007235  0.03469014 -0.05628574
0.06727458 0.41056288 0.04429243 0.05321819|0.06727516 0.41056288 0.06727516 0.06727516| 0.06727516  0.00566236  0.01270741 -0.02953675  0.02987945  0.00601517  0.00122395, 0.41056288  0.01345946 -0.03309314 -0.02189497  0.01057626  0.01313975 -0.02908499
-0.68055831 -0.21935366 -0.09264609 -0.07676515|-0.68055828 -0.21935496 -0.68055828 -0.68055828|-0.68055828 -0.03726162  0.02048513 -0.03145657  0.03064511 -0.06711631  0.02417779,-0.21935496  0.05658806  0.01306214 -0.00436983 -0.03672903  0.01150574  0.03313816
0.37098428 0.26873024 0.07400524 0.08929833|0.37098345 0.26873587 0.37098345 0.37098345| 0.37098345 -0.00569876 -0.00943323  0.05960384  0.03598491  0.01127965  0.02230501, 0.26873587 -0.03189596 -0.05121655 -0.04123655  0.02302932 -0.03475603 -0.03200282
0.43504644 0.22140278 0.07186457 0.10057951|0.43504568 0.2214036  0.43504568 0.43504568| 0.43504568  0.03630648 -0.02806169 -0.02002423 -0.03428755 -0.03427523  0.02009859, 0.2214036   0.02032852  0.00317332  0.07706759 -0.02008884  0.04584445  0.03880464
-0.58033789 -0.53518925 -0.07481764 -0.0708575 |-0.58033789 -0.53518924 -0.58033789 -0.58033789|-0.58033789 -0.00473722  0.0468738   0.00402835 -0.0413826  -0.041894  0.00068876,-0.53518924 -0.04078976  0.0341646   0.02380244  0.00114208  0.01322992 -0.03909968
 0.53739822 -0.20586408  0.09392931  0.03982808| 0.53739831 -0.20586241  0.53739831  0.53739831| 0.53739831  0.04146359 -0.04459972 -0.04627086 -0.00931064 -0.04580656  0.03092753,-0.20586241 -0.01184652 -0.0248439   0.00904153  0.00826482  0.02586053  0.00639285
-0.33456006 -0.49714298 -0.09364342 -0.08463506|-0.33456005 -0.49714298 -0.33456005 -0.33456005|-0.33456005 -0.01362409  0.07365963  0.05322012 -0.01350875  0.01046061 -0.01006655,-0.49714298 -0.03017695  0.03953339 -0.0685579   0.00102988 -0.00839095  0.00080325
-0.38620366  0.08853725 -0.06258291  0.07491219|-0.38620365  0.0885401  -0.38620365 -0.38620365|-0.38620365  0.00755398  0.01274177 -0.03570544 -0.00988894  0.03964432  0.02965784, 0.0885401  -0.05242335  0.04080038 -0.01740673  0.02521818  0.01644302 -0.00385995
-0.45089606  1.06797823 -0.08862519 -0.09234564|-0.4508926   1.06797836 -0.4508926  -0.4508926 |-0.4508926  -0.03915417 -0.04056565 -0.01758863 -0.0266649   0.04803621  0.03907485, 1.06797836 -0.03589189 -0.07826845  0.03027781 -0.01391836  0.0038699  0.00260623
 0.33786209 -0.43839109  0.1275888   0.11135411| 0.33786762 -0.4383871   0.33786762  0.33786762| 0.33786762 -0.05788329  0.0456005   0.04904147 -0.07541672 -0.05215758 -0.01781647,-0.4383871   0.03549852 -0.05536898 -0.06243746 -0.05390797  0.00259868  0.03807467
 0.4656617  -0.04701866  0.040586    0.04365141| 0.46566177 -0.0470175   0.46566177  0.46566177| 0.46566177  0.00326838 -0.02325287  0.006696    0.00550881 -0.02039056 -0.02554096,-0.0470175  -0.02496135  0.00328179  0.03250179 -0.00107418  0.01066345  0.01129676
-0.05632143  0.13071023 -0.09861848 -0.10255823|-0.05632334  0.13070979 -0.05632334 -0.05632334|-0.05632334 -0.03524809 -0.03457806 -0.0841257  -0.00601875 -0.0176337  0.00189182, 0.13070979 -0.00667339  0.07301712 -0.01050197 -0.04943628 -0.0041992 -0.05234363
-0.40536392 -0.41586251 -0.07614627 -0.09161373|-0.40536328 -0.4158627  -0.40536328 -0.40536328|-0.40536328 -0.01527887 -0.03854719 -0.04149032  0.022774    0.03308561  0.02948386,-0.4158627   0.03910054 -0.03986468  0.04122338 -0.05051266  0.01438333  0.03072277
 0.33207527 -0.72152279  0.06204542  0.05798049| 0.33207527 -0.72152279  0.33207527  0.33207527| 0.33207527 -0.00391048 -0.02940045 -0.01243715 -0.0466287   0.02205563 -0.01522466,-0.72152279 -0.00536682 -0.00955403 -0.01344222 -0.03700797  0.02527004 -0.03402855
-0.52524925 -0.44366991  0.06943562  0.05569752|-0.52524899 -0.44367027 -0.52524899 -0.52524899|-0.52524899  0.01128    -0.0116229   0.02011782 -0.00065298 -0.01546382 -0.06414892,-0.44367027 -0.0097691  -0.02555658  0.00244111 -0.01305713 -0.04112633  0.02409639
 0.01834166 -0.28149936  0.06692463  0.05486826| 0.01834026 -0.28149938  0.01834026  0.01834026| 0.01834026 -0.01918047 -0.01162116 -0.00601623 -0.01529941 -0.0339959  0.05219329,-0.28149938 -0.00376107 -0.00313381  0.02087866 -0.05030246  0.00822935 -0.00347112
 0.52454744 -0.96141961 -0.07516453  0.10583215| 0.52454744 -0.96141961  0.52454744  0.52454744| 0.52454744  0.05034738  0.00932293 -0.02417472 -0.01971637 -0.01572201  0.04383418,-0.96141961 -0.03581003 -0.02023098 -0.06299802 -0.03520257 -0.06151013 -0.02811656
-0.57961486 -0.28266358  0.07952418 -0.07209551|-0.5796147  -0.28266541 -0.5796147  -0.5796147 |-0.5796147  -0.05380058 -0.00194981 -0.0023358   0.04748462  0.03544136  0.00235126,-0.28266541  0.01126837  0.02423552  0.00790539 -0.0453538   0.00189377 -0.05012346
-0.07525112  0.00601202 -0.08990625 -0.10121066|-0.07525111  0.00601208 -0.07525111 -0.07525111|-0.07525111 -0.00034121 -0.02846366  0.02814408  0.02816703 -0.01776246 -0.07528473, 0.00601208 -0.02220022 -0.01931871 -0.03912337  0.0051827  -0.08557698 -0.02916367
 0.14659891 -0.83270956  0.06944025  0.06568245| 0.14658897 -0.83270956  0.14658897  0.14658897| 0.14658897 -0.01696854 -0.03519797  0.04175617 -0.00624147 -0.02693919 -0.02984159,-0.83270956 -0.01943941  0.02398684  0.03986597 -0.00284646  0.02401981 -0.03595607
-0.75514593  0.09814321 -0.05442897  0.06334567|-0.75514593  0.09814374 -0.75514593 -0.75514593|-0.75514593  0.02708269  0.00318191 -0.00802198 -0.02380851  0.00740313  0.04024723, 0.09814374  0.03159358 -0.0019837   0.02877936  0.03018239  0.02346221  0.02846408
 0.64360455 -0.07713042  0.08616914  0.78562938| 0.64361492 -0.30930566  0.64361492  0.64361492| 0.64361492  0.02344827  0.01576125 -0.01650899 -0.0351574  -0.07021918  0.02079515,-0.30930566  0.00283759 -0.007682    0.05840581  0.03313503 -0.02892916  0.09159021
 0.03616073 -0.036193    0.05402933  0.07649907| 0.03616032 -0.03619329  0.03616032  0.03616032| 0.03616032 -0.00619911  0.04442239 -0.01602381 -0.01492293 -0.02088827  0.00456356,-0.03619329 -0.0322026   0.04280108 -0.0409236   0.03516232  0.00954183 -0.0061639 
0.40401478 0.48972525 0.06342673 0.0662175 |0.40401482 0.48972523 0.40401482 0.40401482| 4.04014822e-01  2.75698354e-04 -2.19241343e-02 -1.87268995e-02 -3.69761405e-02  3.45325169e-02  2.73283498e-02, 0.48972523 -0.0274742  -0.01837067 -0.01627316  0.01988021  0.04215522 -0.03129168
 1.3584673   0.17269907  0.05535346 -0.09563647|1.35846731 0.17269385 1.35846731 1.35846731| 1.35846731 -0.00529821 -0.01757878 -0.0280663   0.02477363  0.02473463 -0.02829102, 0.17269385  0.02457281 -0.01332128 -0.02819763 -0.06114326  0.05893208 -0.02458729
