1 1 | 0.73566851100152 0.7097684745169102 0.2923035192854116 0.23369932557115775 -0.5257620101960936 0.560282157766742 0.05046415091046242 0.09740663055583224 -0.05053255158871332 0.25805010586579336 0.08780035950365636 0.23264346445975756 | 0.7220427140719803 0.692669951376387 0.4201236847043313 0.299862638444763 -0.43586075835245675 0.5592030425915575 -0.34125381637377844 0.6330157612657613 -0.22388914001081775 0.2973958844500961 0.3676434572627119 0.39102748693077566 | 17688.70694613949 | 81
1 2 | 0.40821988738496295 -0.5959203022384918 0.1009773445276202 -0.7477438962912192 -0.47752347149822255 0.5723043891966184 -0.03952764140368275 0.25818869990488125 0.07060931300639209 0.12538306160129167 0.2928236024119156 -0.129688388864443 | 0.38603382390978946 -0.7116710065167972 0.10552298421531166 -0.747105646800679 -0.4938481919217817 0.4717372279483965 -0.2026972575699387 0.6620748659299552 0.07715682299866969 0.30378746100583687 0.3599826823032219 -0.24004914008203507 | 47788.384605386615 | 95
1 3 | 0.3168693378803576 0.3632270516441601 -0.2915815708593157 -0.019026130387382524 -0.05802316853557568 -0.8281864485670806 -0.019673002409250368 0.17089434360434974 0.20827096329942182 -0.3311035212889412 0.15143232374289467 -0.012427660218947988 | 0.25276611456564174 0.4171189846867265 -0.32443572449358815 -0.019417142119820256 -0.05816949548008684 -0.3472194593056541 -0.018482205016890393 0.2322278454017098 0.238714348835436 -0.33111810499325545 0.15147033468409646 -0.004267890829893414 | 1201666.169011529 | 63
1 4 | 0.06090137818686142 0.3011580290048009 0.05799123661238715 -0.01924604555678438 0.2627107971081646 -0.3525877897044717 0.07679882948378837 0.1169294018098696 0.20383723181458868 -0.0448600121659776 0.07568965665158987 0.12437820688610611 | 0.08612256264175781 0.3010793814280552 0.03325007524526264 -0.019850178276563154 0.2634114026243422 -0.3523538395147492 0.09703394908445727 0.670704325481233 0.20217427416431724 -0.04492990221645995 0.46406445925560286 0.30803210759156074 | 33.93658169128275 | 513
1 5 | -1.0509709044846662 -0.9556183031186674 1.030278375530998 0.8195360891922894 0.27074958712168135 -1.268640252309818 0.19680872888136924 -0.024679168104117393 0.2377114125055971 -0.400815441603831 -0.11202321176925094 0.20648999708307672 | -1.0514592430437857 -0.9578451572123724 1.0303824201753498 0.8245896191737698 0.17687699306701457 -1.266816249662771 0.37745734573554235 0.35152732482426197 0.4534619515324524 -0.8068710338149654 -0.16247523638980588 0.30237260873258565 | 11910.006698519199 | 85
1 6 | -0.2837088722889412 0.4488614319249527 0.19897291896757213 0.6609412182895394 -0.13015541404040357 0.2907989628388343 -0.19028073461364742 0.1775903837616212 0.06619430538913242 0.055435389064687174 0.10814936139413744 0.0408296511428432 | -0.24669000383839296 0.37904076824266497 0.3322458424226059 0.6459619586697288 -0.20727326165842677 0.233492281532927 -0.5079687594607017 0.5414694176021828 0.13028660434650594 0.6185822985053868 0.1583310513402924 0.3309120475638173 | 9312.98882262714 | 131
1 7 | 0.6706857320520829 -0.445702112680914 0.11332886202278106 0.6138899921661991 -0.2796624191317868 0.5221663397435425 -0.0323371506830964 -0.2707639113688403 0.012121919521563686 -0.15830666034255605 -0.0013419501554301158 0.10623912135674686 | 0.2391654154142488 -0.4419669744632067 0.17946419648008466 0.6141688140089373 -0.458878358970493 0.5144654187187409 -0.14383042132894847 -0.524807498976197 0.11318844134751967 -0.4250626814427665 0.011531957367223128 0.40569128976823166 | 265429.8099217725 | 127
1 8 | 0.6163009251782879 -0.0086064112360298 0.48277095790656904 -0.33622001781205507 -0.2316988004476028 0.5511906765633799 0.3535786088199115 0.0967131289276701 -0.10632882888433696 -0.0378190073282777 0.20160595150990948 0.15883788449636801 | 0.6164372380092101 0.023437286883019447 0.48246424693675133 -0.33748021808294904 -0.22316994386549222 0.550759906784984 0.43329128133791905 0.05690045261705213 -0.31267040085923725 -0.4913497446968559 0.4665234255881449 0.3131232878052407 | 33.58445785451585 | 333
1 9 | -0.4243286775815687 0.07305026889345607 0.7465266154211679 0.24558898970930731 -0.11145910536345924 0.13606274874230792 -0.2682055523190488 0.10430048712340406 0.25141731298888464 0.14584131521964777 -0.15752135919841964 0.251989202065996 | -0.42441077500532476 0.11064541899504984 0.746613157762168 0.2454365616747525 -0.08205851926491561 0.13617483083638304 -0.36807451282083825 0.19175782836310798 0.6363670367839509 0.35350046656571094 -0.2578105222946034 0.4170891863356407 | 91.17186678566314 | 667
1 10 | -0.04695955924051661 -1.7380976380393935 -0.7518225805707062 1.4413890348392433 -1.1883607032100547 -0.07082058635419033 -0.2945436007787541 -0.2057829264414238 0.32398781947304545 -0.1366471124506578 -0.2175764673911208 -0.2024617632330438 | -0.03342881146291186 -1.7372150367688943 -0.7529558233940113 1.4414334868096585 -1.1877828532220025 -0.06506822984755023 -0.2936569987958547 -0.3467633753767679 0.4159286600325849 0.518108928927762 -0.24845575304186396 -0.20174607418782903 | 1580.6390197726826 | 83
