[ 0.48405759,  0.61988386, -0.02564317, -0.05004835] | [ 0.48405959,  0.61988276, -0.1527075 , -0.15707238]
[ 1.46970966, -0.28973036, -0.0242078 ,  0.02856784] | [ 1.46970923, -0.28967836, -0.16260029,  0.15212343]
[-0.29775358, -0.64635125,  0.02564049, -0.0391893 ] | [-0.29775492, -0.64635067,  0.17229531, -0.17304626]
[ 0.74404663,  0.22483322, -0.0180727 , -0.00387322] | [ 0.74404048,  0.22484804, -0.16822705, -0.16434823]
[-0.80319704, -0.67665909, -0.05919136, -0.02725887] | [-0.80319166, -0.67666719, -0.1809424 , -0.17915919]
[ 0.07690431, -0.05074806, -0.04063547, -0.01668823] | [ 0.07690769, -0.05074369, -0.15191173, -0.14242242]
[ 0.37184763,  0.1868339 ,  0.03325718, -0.00668489] | [ 0.37184631,  0.18683568,  0.19726353, -0.15757313]
[ 0.11406245,  0.43951275, -0.03282414,  0.0339911 ] | [ 0.1140569 ,  0.43951376, -0.12322396,  0.12669545]
[ 0.47441017, -0.35123698, -0.03481459, -0.01809312] | [ 0.47441676, -0.35123023, -0.14912976, -0.15439428]
[-0.38497326, -0.05553511, -0.00333485, -0.03191622] | [-0.38497547, -0.0555241 , -0.19044924, -0.16372822]
[-0.32335966,  0.21700256, -0.03681616,  0.02595927] | [-0.32336683,  0.21699497, -0.13659603,  0.13880731]
[-0.25912843,  0.15959138,  0.02596197,  0.01352058] | [-0.25912996,  0.15958552,  0.17429339,  0.13984117]
[ 0.77384508,  0.80155972, -0.03544365, -0.03046737] | [ 0.77384362,  0.80156124, -0.17364855, -0.16962894]
[ 0.94393275, -0.28199131, -0.02198074,  0.01340828] | [ 0.94393457, -0.28198458, -0.14722015,  0.18639919]
[-0.64248823,  0.02780328,  0.00993232,  0.00444068] | [-6.42489061e-01,  1.48139130e-07,  1.84222681e-01,  5.40173928e-03]
[ 0.29064307, -0.64311765,  0.01743143,  0.03525467] | [ 0.29059539, -0.64313093,  0.17236243,  0.15583358]
[-0.11743631,  0.20974569, -0.02704376, -0.03187506] | [-0.11743917,  0.20974449, -0.15479512, -0.16834174]
[-0.18178691,  0.27939048, -0.00198467,  0.0677372 ] | [-8.35483372e-06,  2.79294364e-01, -3.53462876e-02,  1.87831938e-01]
[-1.51422316e-01, -3.52234191e-01, -1.89785871e-04, -2.12146093e-02] | [-0.15145708, -0.35222396, -0.16566328, -0.17961549]
[-0.0613616 , -0.63982113, -0.05883328,  0.03500638] | [-0.06135934, -0.63982126, -0.16036413,  0.17062417]
[0.46395659, 0.39328814, 0.04682275, 0.02039664] | [0.46395669, 0.39328881, 0.18573394, 0.16231143]
[-0.6474653 ,  0.11826226,  0.02061338, -0.02272956] | [-0.64746669,  0.11825609,  0.15386473, -0.16030801]
[ 0.07094329, -0.09142296, -0.00793717, -0.00396991] | [ 0.07094929, -0.09141945,  0.18485379, -0.153475  ]
[-0.18380834,  0.90788801,  0.02530363,  0.04806922] | [-0.18378922,  0.90788841,  0.17833104,  0.15954733]
[-0.84932288, -0.643393  , -0.00439864, -0.05389145] | [-0.84932569, -0.64339226, -0.16861252, -0.17680557]
[-0.0417275 , -0.45339422,  0.03530974,  0.03601635] | [-0.04173396, -0.45339378,  0.18164036,  0.1765629 ]
[ 0.36110797, -0.23558877, -0.0097652 ,  0.03683981] | [ 0.3611158 , -0.23558006, -0.18985922,  0.1851001 ]
[ 0.57378849, -0.35405777,  0.06172922,  0.04134503] | [ 0.57378184, -0.35406581,  0.17831775,  0.17598083]
[-0.29531586,  0.11497757, -0.02811142, -0.04536181] | [-0.29531687,  0.11497574, -0.15616738, -0.15506646]
[-2.18762229e-01,  7.35946356e-01, -1.16688094e-02, -4.96351359e-04] | [-0.06266376,  0.73593811, -1.01674503, -0.17925836]
[ 0.04147619,  0.69137773,  0.05233393, -0.01085656] | [ 0.04145357,  0.69137854,  0.15665749, -0.19032972]
[ 0.41814825,  0.27990506, -0.04490908,  0.06289629] | [ 0.41815816,  0.27989561, -0.19688603,  0.19580546]
[ 7.25665189e-01, -6.78253227e-01, -6.18480543e-02, -3.23860995e-04] | [ 0.72572666, -0.67819952, -0.16271376, -0.16084885]
[-0.54272736,  0.43247575, -0.00898458,  0.02728966] | [-0.54273264,  0.43247087, -0.16625499,  0.15012847]
[ 0.44421878,  0.16160829,  0.01064387, -0.01085014] | [ 0.44420697,  0.16165051,  0.15459612, -0.11656349]
[ 0.43448807, -0.00809658,  0.05265425,  0.04233072] | [ 0.4344877 , -0.00811072,  0.15897328,  0.19083221]
[ 0.4315484 , -0.36379729,  0.05877139, -0.01209558] | [ 0.43154565, -0.36379909,  0.18313055, -0.1405121 ]
[-0.46383998, -0.66325133,  0.00732918,  0.00671465] | [-0.46383587, -0.66325347,  0.14035297,  0.15672907]
[ 7.94668059e-02, -6.32565064e-01,  4.98175513e-02,  4.98764837e-05] | [ 0.07945862, -0.63256524,  0.18610677,  0.14060295]
[-0.34077038, -0.61368096,  0.03268345,  0.00449531] | [-0.34076047, -0.61368331,  0.16231245,  0.15542555]
[ 0.52903482,  0.02401922, -0.01513807,  0.02943203] | [ 0.52903497,  0.02401708, -0.13797533,  0.18011495]
[ 0.02043386, -0.15004202,  0.01271303, -0.04503368] | [ 0.02043091, -0.15004229,  0.18211942, -0.17257122]
[-0.19735152,  0.20382358,  0.05052667,  0.01686502] | [-0.19735338,  0.2038223 ,  0.18209815,  0.16705741]
[-0.001446  ,  0.03465471,  0.01468636, -0.0105346 ] | [-0.00146227,  0.03465474,  0.17763895, -0.15589215]
[-0.08824778, -0.47513492,  0.00463586,  0.04166414] | [-0.0882536 , -0.47513406,  0.15493985,  0.21319055]
[ 0.3036357 ,  0.7628647 , -0.02844739,  0.01819453] | [ 0.3036457 ,  0.76286113, -0.20517273,  0.14429888]
[-0.27810046,  0.18195218,  0.03621189,  0.02636776] | [-0.27810868,  0.18194344,  0.17268052,  0.18709246]
[ 0.06553821, -0.43189554, -0.04102405,  0.01579608] | [ 0.06553173, -0.43189616, -0.22810404,  0.14110477]
[ 0.2369624 , -0.01478701,  0.00480227, -0.01150522] | [ 0.23696255, -0.01478516,  0.16518974, -0.16624624]
[ 0.06775255, -1.2025237 , -0.04207554,  0.02169125] | [ 0.06776423, -1.2025233 , -0.16132692,  0.12663571]
[ 0.14854138, -0.24977455,  0.03435363, -0.01838389] | [ 0.14853331, -0.24977869,  0.12022368, -0.17654429]
[ 0.72631352, -0.35785395, -0.00286028, -0.05078646] | [ 0.72626983, -0.35792251, -0.19378175, -0.16499638]
[ 0.27880658,  0.05304293,  0.03199223, -0.0040263 ] | [ 0.27880585,  0.05304549,  0.17829064, -0.17230419]
[ 0.34333633, -0.98994617, -0.09621885,  0.015033  ] | [ 0.34327929, -0.98994605, -0.19643523,  0.15685074]
[0.44145143, 0.15690294, 0.0061353 , 0.06734633] | [0.44146055, 0.15688289, 0.16744413, 0.18511176]
[ 0.14638081, -0.35996622,  0.01306417, -0.022419  ] | [ 0.14632359, -0.35998567,  0.17727226, -0.19648379]
[-0.25747657, -0.17134708, -0.00759693,  0.02917925] | [-0.2574774 , -0.17134609, -0.18682213,  0.18519087]
[-0.2882995 ,  0.21273835, -0.02513224,  0.02681831] | [-0.28832216,  0.21271116, -0.1560657 ,  0.1883494 ]
[ 3.73732396e-01, -8.08037244e-02, -1.37884871e-02, -2.89218827e-04] | [ 0.37373451, -0.08079785, -0.16185104, -0.2189409 ]
[-0.29644431, -0.75956245, -0.04828965,  0.08227159] | [-0.29644327, -0.7595626 , -0.19392911,  0.1703053 ]
[ 0.10456136, -0.12342707, -0.02585449,  0.01459979] | [ 0.10455754, -0.12342949, -0.14599637,  0.18805444]
[ 0.39247869, -1.11924983,  0.03455135,  0.02589933] | [ 0.39246041, -1.11925437,  0.12884   ,  0.17984778]
