1 1 | 8.018286818527372 -5.14791780066048 3.6258057731557756 -2.6636250751241732 8.903958147246158 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | 0.73566851100152 0.05046415091046242 0.3242924651186263 -0.1478376976953942 -0.029384711647358865 0.09602747769176549 -0.13372905479242972 0.7097684745169102 -0.2017831362142144 0.09740663055583224 -0.03329214182059614 -0.45773085769472793 0.36360366467727084 -0.2755417471008922 0.2923035192854116 -0.4261819293073246 -0.14169302883514037 -0.05053255158871332 0.17911862523102634 0.04523558123339192 -0.08652811118034334 0.23369932557115775 -0.3104108291574074 -0.12514373119545127 0.152125146986958 0.25805010586579336 -0.07327836884576276 0.07825633098439384 -0.5257620101960936 -0.11076766654413328 -0.25638353248572954 -0.2765579080367483 0.156521543968597 0.08780035950365636 -0.15391194991159887 0.560282157766742 0.12678595934974726 0.036016589848920526 -0.15246874843422828 -0.13603154454880484 -0.19211838694282732 0.23264346445975756
1 2 | 6.917174155410066 2.843710286945111 5.560190025969064 -1.0152956694172417 -7.337097209928288 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | 0.40821988738496295 -0.03952764140368275 0.2223109203916766 0.04357841221732397 0.31714854587864677 -0.3683293707916502 0.09917510203118621 -0.5959203022384918 -0.2700591336226443 0.25818869990488125 -0.2924077671681052 0.2802334055829026 -0.1973241560819997 0.06459447128893611 0.1009773445276202 -0.09725483220099371 0.014113200815532318 0.07060931300639209 -0.03580206272496572 -0.11124525558233853 -0.17627957343838227 -0.7477438962912192 0.012729343602938977 -0.19691596400629408 0.14053390274354757 0.12538306160129167 -0.038111038474615826 -0.12738563995864524 -0.47752347149822255 0.053707481768927846 0.02906952876121575 0.06500221997131425 0.0942135025775007 0.2928236024119156 -0.21832394697889812 0.5723043891966184 0.23706089125005844 -0.33794155882467736 -0.23848805119473424 0.07529546446516705 -0.17659599212042434 -0.129688388864443
1 3 | 12.190394667722785 0.34362464656942393 -2.6837981575264394 3.3480793216660913 -11.35271757932037 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | 0.3168693378803576 -0.019673002409250368 0.23713017418064977 0.13443045876746734 -0.2502336718951633 -0.18216364068079305 -0.13848268262462082 0.3632270516441601 0.11208259494959091 0.17089434360434974 0.015440584489826208 0.21088921588330228 0.2730543588804414 -0.09331993417585163 -0.2915815708593157 0.21750546372291127 0.08059154101595044 0.20827096329942182 -0.24868230166734642 -0.12445118595763476 -0.23997717517246966 -0.019026130387382524 -0.22712682706612253 -0.08816410127980673 -0.27586054849023284 -0.3311035212889412 0.28999733315294846 -0.046094777761218814 -0.05802316853557568 -0.057425776721412976 -0.13161576402335112 0.25836011534024933 -0.061972727548659325 0.15143232374289467 -0.007129286888833055 -0.8281864485670806 0.09715908139628343 0.14174629695280194 -0.27933170708712773 0.5276978808904691 -0.07863701565033245 -0.012427660218947988
1 4 | 10.288742360187825 5.233675996518286 -13.994092080245082 4.863899287148001 -2.3238969825841878 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | 0.06090137818686142 0.07679882948378837 -0.15590597060344946 -0.3258695343143646 0.18107717358604017 0.41419911755494193 0.20752566773717154 0.3011580290048009 0.08217315405627433 0.1169294018098696 -0.30773060346783154 -0.13537907898987647 -0.555224733176144 -0.1567531316952899 0.05799123661238715 -0.30149561446055123 0.353540193730566 0.20383723181458868 0.0067701918592444725 -0.12424061401458114 -0.11801282625409538 -0.01924604555678438 -0.030247565090796492 0.04461143564699046 0.0023568925775042343 -0.0448600121659776 -0.04444082434561327 -0.13074525580497537 0.2627107971081646 -0.23747706841449365 -0.2410861139411423 0.17807499804331903 -0.23711074930936493 0.07568965665158987 -0.01035977920944973 -0.3525877897044717 0.1637525242287209 0.017235350339695494 -0.13881668237565037 0.12999833559689553 -0.11877297005900977 0.12437820688610611
1 5 | 17.595286336860454 -6.705453948525928 -2.535797003293851 -1.0766726032774159 -0.07840656456914985 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | -1.0509709044846662 0.19680872888136924 0.13492519432936503 -0.2338554669006438 0.0326511024780053 0.1427024230115251 -0.10874290866794022 -0.9556183031186674 -0.3263520268485715 -0.024679168104117393 -0.04114837535632547 0.028514523160115643 0.05141128185236433 -0.08177597272974854 1.030278375530998 -0.26918972327534574 -0.17600782450230526 0.2377114125055971 -0.059426730557646974 -0.0816715722338598 -0.1862685100407233 0.8195360891922894 -0.18272517976556715 -0.6133777146311474 -0.02211819478865763 -0.400815441603831 -0.20999969522503611 0.1268356220118866 0.27074958712168135 0.22020271190251886 -0.008967132067326656 -0.1537685038785222 0.3137710084328364 -0.11202321176925094 0.11739867047643723 -1.268640252309818 0.06774663467928016 -0.1262720189893407 -0.024890487960598992 -0.10420148108477086 0.12510075734188145 0.20648999708307672
1 6 | 5.105238860791701 -0.9524770341419071 1.0087720425752877 -1.3410652250781823 4.620733416232838 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | -0.2837088722889412 -0.19028073461364742 0.3948740259723928 0.33473817657164096 -0.13173803116277874 -0.1395716970648979 0.23069892750212542 0.4488614319249527 0.2366634923071329 0.1775903837616212 0.5397565691024515 -0.09022876064401751 0.008338584053505434 -0.01844869555917518 0.19897291896757213 0.17971094796663617 0.2231817995291402 0.06619430538913242 0.03097919370709896 0.1278658868180042 0.0718060970605014 0.6609412182895394 -0.252444687180468 -0.013082047434610522 0.20554192566768537 0.055435389064687174 -0.05520250173403589 -0.20916001871204265 -0.13015541404040357 -0.24242348599806504 -0.4797977093001333 -0.1110558414923134 0.06930481228615264 0.10814936139413744 -0.41370603984285464 0.2907989628388343 -0.15783228211660827 0.006729762024276849 0.3220284388606389 -0.17902599079316708 -0.28452926685871793 0.0408296511428432
1 7 | 8.473114757954818 -1.2590460484980213 -2.4960220918612777 1.8512893143166593 5.65532387891767 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | 0.6706857320520829 -0.0323371506830964 -0.33103473541752987 -0.20177155499898305 -0.35667060826885594 0.19210792986610098 -0.5440376844003076 -0.445702112680914 0.27868037467612927 -0.2707639113688403 -0.1446610396999863 -0.31736453694933225 0.11647012318225126 -0.06095750922783652 0.11332886202278106 0.16036156002100965 0.09589929506116009 0.012121919521563686 -0.04609339375985681 -0.02561681014018268 0.18428319182889663 0.6138899921661991 0.039323360798684426 0.09721984084108978 -0.2328986503296675 -0.15830666034255605 -0.23910006870949013 0.18970133186079802 -0.2796624191317868 -0.05195494208929298 -0.07331286667998635 0.26816234069404143 -0.07794940404185086 -0.0013419501554301158 -0.2318928176943209 0.5221663397435425 -0.1734893661260995 0.11086116656377011 -0.27092580803781613 -0.19309667844438155 0.02801294923822457 0.10623912135674686
1 8 | 4.559290621261084 8.857750194506139 -8.423623686796532 -0.400178594676845 2.0192660958560964 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | 0.6163009251782879 0.3535786088199115 -0.03299925661565236 0.1266293128939251 -0.06009457625203585 0.20144468862570436 0.055347109979858686 -0.0086064112360298 0.2747809255777314 0.0967131289276701 -0.10785699737780143 -0.18210336396713891 0.17796874471582874 0.19690217640065721 0.48277095790656904 0.17460609278074524 -0.03726677987787937 -0.10632882888433696 -0.05470598747777523 0.00869026656928692 0.22875290985841373 -0.33622001781205507 0.10373610511329796 0.08168746038667585 0.05365272815419825 -0.0378190073282777 0.30912524736838237 0.3617561397630502 -0.2316988004476028 -0.09820629533966084 0.24332967247513382 0.1818142972260588 -0.09723346363751939 0.20160595150990948 -0.15518514806216108 0.5511906765633799 -0.10893100797771538 -0.05164226107487983 -0.21577098761598965 0.011318805357414686 -0.09771352971133523 0.15883788449636801
1 9 | 9.82352558986338 -3.015673682831789 -4.47278742659887 5.66121142355712 -4.037688838397685 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | -0.4243286775815687 -0.2682055523190488 0.05545065920423581 0.16070202515047238 0.14437039068449925 0.04686744944767903 -0.11493326050907317 0.07305026889345607 0.16883269491223843 0.10430048712340406 -0.19559595438978022 -0.026430752213937914 0.06257778822083979 0.06637884516332297 0.7465266154211679 0.05044661722485955 -0.4391510915854088 0.25141731298888464 0.14864758197012473 0.32655091170375805 -0.13031559681943683 0.24558898970930731 -0.14737974531296813 -0.24907983525205388 -0.008744907732412 0.14584131521964777 -0.13132177258674635 -0.047330838654269056 -0.11145910536345924 -0.12338983363843127 -0.14217167004667133 0.01173272993900853 0.3468518995390164 -0.15752135919841964 0.24725190830960994 0.13606274874230792 -0.23095507966404027 0.07065217946603408 0.13446561920699898 0.10515766146625494 -0.1364155526039644 0.251989202065996
1 10 | 10.174712332759327 -0.3189141839528702 -4.709699814617352 5.796975255836514 -2.4107540558154597 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | -0.04695955924051661 -0.2945436007787541 0.24105309279674564 0.21145080057809243 0.22114547126689865 -0.013582650666240986 0.010732813536336976 -1.7380976380393935 -0.1863984523952661 -0.2057829264414238 -0.027531280502344053 -0.053564401178445346 -0.1675738090357309 -0.11747118851443357 -0.7518225805707062 0.005357201645778061 0.06820767791853151 0.32398781947304545 0.11744481470403417 -0.09212192506185032 -0.20810853450612346 1.4413890348392433 -0.09422289589379772 0.04138395633426343 -0.05259430090538372 -0.1366471124506578 -0.2865710671406399 -0.3996789854350894 -1.1883607032100547 0.07277257469054167 0.0202572586561562 0.0755792382599438 -0.03444321155734796 -0.2175764673911208 0.037151930222701815 -0.07082058635419033 0.2144046725473461 0.008534748713524613 -0.15269576941501956 0.018643652806653567 0.19120641040764863 -0.2024617632330438
