[-0.27614815,  0.27906368, -0.06376991,  0.00407632] | [-0.26945897,  0.28923576, -0.19375274,  0.18928346]
[ 0.6754698 , -0.56397662, -0.00579478,  0.0023689 ] | [ 0.70264452, -0.58633263, -0.20895607,  0.18750816]
[-0.38862604,  0.42373883,  0.01096938,  0.0396485 ] | [-0.39860064,  0.45941914,  0.21172891,  0.18441779]
[ 0.88353928,  0.78886184, -0.0521957 ,  0.03131498] | [ 0.86624715,  0.77649091, -0.26964517,  0.18235865]
[ 0.11319919, -0.74332815,  0.03014712,  0.0548106 ] | [ 0.12769211, -0.75133396,  0.18096112,  0.19391729]
[ 0.57804971, -0.46535987,  0.05187924, -0.04467693] | [ 0.53949858, -0.45225878,  0.23523052, -0.22864386]
[-0.52328938,  0.07512465,  0.07518727,  0.00341534] | [-5.43452711e-01,  8.92728876e-02,  2.42760981e-01,  1.84183854e-04]
[ 0.07738662, -0.08553422,  0.00871017, -0.01773341] | [ 0.05074912, -0.15361822,  0.28758856, -0.11084984]
[ 0.03824894, -0.80027689, -0.02691261, -0.02231677] | [-0.02317329, -0.81777   , -0.92230664, -0.18836809]
[ 0.28718907, -0.24993191, -0.01028008,  0.02796622] | [ 0.28405532, -0.23489734, -0.22818269,  0.22160481]
[ 0.36097578,  0.01385855,  0.00123717, -0.02791659] | [ 0.35265718,  0.11502275,  0.24802975, -0.0846537 ]
[ 0.1051354 ,  0.42149202, -0.03014804,  0.00552865] | [ 0.11103928,  0.37679411, -0.26094369,  0.24866143]
[-0.00562192,  0.20305755, -0.01220145,  0.04519868] | [ 4.60164278e-05,  2.37997374e-01, -1.65586092e-02,  1.83675715e-01]
[ 0.2544607 ,  0.25293307, -0.00581615,  0.07390866] | [ 0.26585096,  0.25743171, -0.25038026,  0.2157223 ]
[-0.36971897, -0.28463298, -0.00745821,  0.02948306] | [-0.33428138, -0.35770066, -0.23777048,  0.2105521 ]
[-0.07806328,  0.0996288 , -0.0377393 , -0.01774048] | [-7.04963317e-02, -1.14266482e-04, -2.55770435e-01, -4.04533119e-02]
[0.15546269, 0.38710415, 0.00228753, 0.04043006] | [0.15285775, 0.45715201, 0.2453137 , 0.17856151]
[-0.04408004,  0.16249503, -0.01745246,  0.01066957] | [-0.01939806,  0.12550834, -1.21069246,  0.10436823]
[0.57362314, 0.02345214, 0.00714307, 0.03149485] | [ 0.55091604,  0.09739281,  0.26366591, -0.16742355]
[ 0.36869773,  0.61084904, -0.02908096,  0.03511122] | [ 0.32144463,  0.62487757, -0.20942596,  0.19423187]
[-0.04472748, -0.50195042, -0.02746675,  0.02347703] | [-0.06226402, -0.48255634, -0.14680045,  0.2040954 ]
[ 0.56957657, -0.76525576,  0.01482686,  0.03546439] | [ 0.56441421, -0.80846445,  0.26260518,  0.21661806]
[ 0.0575284 , -1.08882232, -0.02563286,  0.00771155] | [ 0.03790516, -1.10718025,  0.39479764,  0.21717535]
[ 0.02616416, -0.17108412,  0.08864831, -0.04236946] | [-0.01702274, -0.12877335,  0.41976368, -0.28289363]
[ 0.64566792, -0.33379048,  0.04454041, -0.06330497] | [ 0.63819404, -0.36900532,  0.19373164, -0.164376  ]
[0.75687131, 0.26924903, 0.01495192, 0.06026569] | [0.75222561, 0.31978695, 0.21038607, 0.17587821]
[ 0.09061234,  0.24976151, -0.07200719,  0.03867739] | [ 0.11926763,  0.279127  , -0.14067977,  0.16310573]
[-0.99925115,  0.16558345,  0.00743364, -0.01561711] | [-0.98069423,  0.25042823,  0.17811079, -0.23648914]
[-0.50511889,  0.4885196 ,  0.02317028,  0.04013079] | [-0.47017026,  0.48014617,  0.23668881,  0.23177848]
[-0.24923647, -0.52909146, -0.04820182,  0.02501514] | [-0.24004929, -0.5601004 , -0.18241805,  0.20585093]
[ 0.75083028, -0.0898147 , -0.00843501, -0.07670918] | [ 0.74903552, -0.13308022, -0.25684352, -0.05631209]
[ 0.56616955, -0.67810926,  0.0052862 ,  0.01895037] | [ 0.59003073, -0.72640937,  0.14626184,  0.20684488]
[-0.01998157, -0.3047064 , -0.02091603,  0.05851493] | [ 0.0059459 , -0.32722852, -0.69818827,  0.21249291]
[ 0.35370407,  0.54969995, -0.01567859, -0.01340194] | [ 0.36624565,  0.56182911, -0.16307732, -0.19747093]
[ 0.08825912, -0.42759958, -0.02451869, -0.03782246] | [ 4.39701604e-05, -4.14011607e-01,  5.36811277e-02, -1.98551212e-01]
[-0.00204764,  0.73054231, -0.01790792, -0.0124113 ] | [-3.70210478e-02,  7.37074535e-01,  3.13595623e-04, -2.34103555e-01]
[-0.50823299, -0.02624949, -0.02095591, -0.02526227] | [-0.49458192, -0.06744089, -0.20507724, -0.36508074]
[ 0.10624533, -0.37475509, -0.04112501, -0.02972347] | [ 0.12905826, -0.38965619, -0.20021673, -0.24444641]
[ 0.0215693 ,  0.31423038, -0.02790753, -0.04978153] | [ 8.33814392e-05,  2.98943838e-01, -3.02295863e-02, -2.68256898e-01]
[-0.10696109,  0.31612025, -0.05025867, -0.05261508] | [-0.1405006 ,  0.32448749, -0.15099263, -0.23822805]
[ 0.62364674,  0.11591398, -0.01835794, -0.04670237] | [ 0.60211112,  0.09123131, -0.22739232, -0.31255994]
[0.51508335, 0.02998496, 0.04296916, 0.01326219] | [0.50490533, 0.04139077, 0.25841783, 0.63447738]
[ 0.31601506,  0.26787795, -0.01829981, -0.03069761] | [ 0.29651609,  0.23377229, -0.1975717 , -0.28532716]
[ 0.57295725,  0.49429889, -0.04803078,  0.01378362] | [ 0.57992241,  0.50618865, -0.21326841,  0.22762342]
[-0.44187556,  0.84173266, -0.07798222, -0.02378319] | [-0.42700303,  0.84239312, -0.27092301, -0.19868537]
