1 1 | 6.111734742322142 6.647646380877404 -5.599327894973499 6.130378408870115 -6.400956558396615 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | -0.5648306324114277 0.008332679029457946 0.1468974161359382 -0.28232712798818543 0.03760545079619737 -0.25392168765864137 0.38554105122723104 -0.8181498745786637 -0.10592435354115673 -0.1729950245848305 0.44527327174572606 -0.004029671063019189 -0.15970534682933146 -0.015131432543769212 0.9293342835149233 0.20200020141294953 -0.029074264262332436 -0.16957717394343064 -0.027031537887027893 0.41259233551406344 0.08598847210633785 0.9582654060439241 -0.072368386628395 -0.0422132602903355 -0.26118091258651627 0.04511205035597257 -0.09905274394209469 0.2233181770934521 -0.6593810263481348 0.19918863156909322 -0.0012726845222350795 -0.15001593250916265 0.2638211685272345 0.1630332169647378 0.12606623436027323 0.30644370688942124 -0.00852480522411175 0.03849537125261399 0.08709994767236047 0.2214482538870008 -0.5213245073261519 0.05327986898995455
2 1 | 5.29925275259734 3.130513499205449 -2.8482320204456073 6.77572423711797 -10.798618997259496 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | -0.07224520452112856 0.08182103675547321 -0.05380509387591205 -0.15710082207592507 -0.03661058518646766 0.2631370944191725 0.29952630296657096 -0.5821612088991717 -0.35328561578546125 -0.09822279040500485 0.11063246039572486 0.11871436595290763 0.02335054785030173 0.07208452035088014 0.400661919198184 0.30593174237524845 0.1871710818440067 -0.17857293841064578 0.14327229741611713 0.019333616626476462 0.04709968933141991 0.9189826225846442 -0.21804396609011173 0.1034124172211096 0.4098551274380068 -0.06343256250868042 -0.10106013335424734 0.21968282973720377 0.6221635109439503 0.1831370755897905 0.5866278051231796 -0.08050815882473186 -0.34397884910449744 -0.035687318224548195 0.25566188734521383 -0.5392480720843406 -0.0032158631231035306 -0.11600226805411483 -0.09912414046655658 0.1438286593629044 -0.06510817697632386 -0.06202949352437044
2 2 | 16.958873250202373 -11.5994575149183 5.659652854168144 5.027689046869455 -6.4460826256681685 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | 0.05145494571958123 0.023629762576219016 0.04463652386549667 0.18897093751252625 -0.29946304826920433 -0.19169333890449008 -0.21683664257455143 0.8859981242904115 -0.14464133694287637 -0.34339562593055784 0.16527134487723102 -0.21989791288927293 0.1227852127932375 -0.08116578265503199 -0.0672566180725179 0.03373099219613799 -0.2527719604892538 -0.10537233291111814 0.03805031792434851 -0.3048724083591456 0.015244930202679561 0.654272925311274 0.071099707163885 0.33598405794723857 0.1409843460651496 0.31529600699063814 0.01854114747828914 -0.17608825324638913 0.42656136057591293 0.25758118945840974 -0.05349478502860982 -0.49125705364278677 -0.023078638911987442 -0.06426649054317762 0.3794771080429882 0.4820423122572334 0.09531009469175081 -0.12923142072355925 -0.07348944508373466 -0.014691127357508695 0.25702049890440765 0.571982756626538
3 1 | 9.379332258340241 0.09378149371605105 3.9136794604792158 -3.4456224325912217 -1.9690623788869743 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | -0.3544374134314721 0.05457093833974372 -0.08201932687840421 0.03371610415332848 0.16440766555090022 0.13333437622878164 0.007862485420747438 -0.38741716389665704 -0.13728126635003787 -0.1062490627178324 -0.06816044986208043 -0.04654517082595083 -0.18160185673832122 -0.047216936960107384 0.3993650467937488 -0.22033051422996094 0.14293836566991278 0.5290836190933479 0.17320821973537243 0.20280109967187931 -0.2989881826505129 1.2356111768060971 0.3622852945955986 0.07365502168109743 -0.06336776023571712 -0.2691910977749308 -0.08634987352575384 -0.43343554350007263 -0.4664378738342571 -0.15177860468443272 0.1422055613250185 0.4026807104217767 -0.11779208154208322 -0.30606954659744245 -0.24849080055803613 0.031041640195215 -0.0897665556405483 0.2517534670014153 -0.2011644316927186 0.11605084006088269 0.22689492437113698 0.07262461295131187
4 1 | 5.00059397096868 3.1698134000654363 -4.326420222717047 2.408646712355221 9.06004243770235 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | 0.004430462879610823 -0.2653580840879484 0.16106489240065738 -0.1865649767834324 -0.15450675675146233 -0.26693669277510673 0.04527269205225341 -0.8938272484744398 -0.44307156105970785 0.005703368290981569 0.04798394579297824 0.12389305868679605 0.05665061995043486 -0.24551449598568098 -0.005361139496771638 0.2660855163174066 0.012169335084504261 0.0356875154751637 -0.19878540804864958 0.14397982871539083 0.13343395403409206 0.7391737119448025 0.19930798973729288 -0.05356111603211467 -0.016540269782272972 -0.603596287701442 -0.23425161281607682 0.37214885735405073 0.744428947269439 -0.44385981614857467 0.1893510214579416 -0.08993256724664178 -0.09157257019342929 0.07651558381490989 -0.345016843105088 -0.20718477925808315 -0.2269913187528837 -0.004227913861940765 -0.23391285162594888 0.17561498055751965 0.09632800762864355 0.06675345731456442
5 1 | 3.206575497371773 19.41716919314058 -7.647622265751124 -9.712656709887597 4.783159291945253 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | 0.3756797163723437 0.20826630724651962 0.006093767003899655 -0.13988122911661102 0.0015360320368906066 -0.07793955514873281 -0.0022866184062773033 0.18128293301493717 -0.0748970752783936 0.23447062349095568 -0.041643501071793224 0.25452913189060883 -0.0841712253763011 -0.2794763366311747 0.2652524764648271 -0.0039770347560577814 0.019357692379065615 0.16832971403582592 0.18550049144439823 0.1337666076646819 0.12581512233745462 0.45826229374948896 0.012674758714205066 -0.10859940252861351 -0.21637495781305383 -0.18579506769872633 -0.027921314884357562 -0.08436162560157083 0.2675845989592173 0.06536893281155093 0.022424127395620518 -0.280537949982182 0.19924042173488052 0.12497380896901937 0.0855223704857786 -0.05319444279880645 0.3358359566560098 0.08894665881503246 0.2672030089659205 0.12055731033177895 -0.3164017744712911 -0.06872580315918417
5 2 | 12.455185174886196 0.4099864126911825 -9.513479150964827 3.266029885664352 -0.1509249518018123 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | -0.9195032966416522 -0.4009921531055337 0.03680539535059113 0.03534488261462821 0.003473086932493955 -0.037735342737219534 -0.16561224173144373 -0.23245412117920278 0.031470717030205944 0.0319111843174087 0.0608062395156339 0.01650274444169064 -0.3409932728416082 -0.27973169637789314 -0.7206317033474775 -0.05821662153786194 -0.05617035188768066 -0.12762477979130474 0.10032122942954383 0.11423767659183134 0.232664637175764 1.1753082133296466 -0.08562811193210203 0.1904061889847257 -0.26390898078224484 0.04957003809806087 -0.0667257171991243 0.18051325934269305 0.3311675960521069 0.06429646300206276 0.09219357084444249 -0.044160589264212353 -0.3358273765899365 -0.23205320034932225 -0.14378794322152877 1.0354879582334204 0.09737191275132166 0.13845435673229095 -0.1582821448456281 0.023797997803931287 0.19423534852520027 -0.12898392304129627
5 3 | 6.674779875050376 0.873194108137227 -2.799048206794282 1.2182797640607532 0.8978586636718546 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | -0.7102857677213652 0.006414351521675653 -0.24885753854774934 -0.35492328435289194 -0.06528489404250595 0.14544302966824882 0.0236517419383027 -0.8677405833621004 0.007009461299710225 0.10043397991980314 0.05883836289529162 -0.11421701221382609 0.15076566181049095 -0.13642193739748737 -0.8244449502567258 -0.2348883939781742 0.21359792884924786 -0.13497168554002448 0.17482270157472887 -0.16472890385540495 -0.27012308661900253 -0.15887968965700905 0.47680813265459404 -0.048660028604781816 -0.19434837393455873 0.20943442569388052 -0.2838702550102675 0.013615153849547234 -0.23285117723141213 -0.0015141664504071508 -0.16937506735641106 0.08552148758220912 -0.20938682848666004 -0.12888072976817427 -0.34544700402350664 0.09779284367303112 0.08074435294449334 0.42655288912624 0.27248484816103025 -0.05005863433201884 0.27828180741498454 -0.19765297148333383
5 4 | 10.297720245207984 -4.595030430146608 2.516959203210263 -0.7907295152392635 -5.1111780473933095 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | -0.9023937972316705 0.0662378497392417 -0.06719848589367015 0.4666664578359773 -0.10946605559889873 -0.009479539568527779 -0.18085954692295828 0.7477925743905967 -0.11370470540452038 -0.12731730764491556 0.08846019382932128 -0.02458422356183935 -0.10475953660872069 -0.06827611343003381 0.34615061885830184 -0.014853938563268767 0.21628918845771292 -0.022835626701193174 0.1771465534039573 -0.06093471875791914 0.3301722927455725 0.11563807015829405 -0.16257931509109383 -0.11413433393560429 0.05006413199270299 -0.21294303610209134 0.16653812386054476 0.2786300579821645 1.350911288339154 0.32513320600412865 0.3196613906442172 0.3234691299839749 -0.3363661395141069 0.3474961929093215 0.36678976199632785 0.1540803520382845 0.08002190536684912 -0.09370617061254727 0.2634029625873201 0.2324863227870385 -0.12819093671989545 0.152109387799722
5 5 | 6.588947644972109 6.448702753149746 -3.0248430604736996 -7.050092633441636 -1.0817595307431702 | 1.2028747171303642 1.2023795230358734 1.1920086243871093 1.1907221894825026 1.1786888569507183 1.1757755871195439 | 0.1535869491956933 0.15352373422069537 0.1522057977722538 0.15204311321819067 0.1505298661126688 0.15016582002128265 0.15352373422069537 0.15346051924569745 0.15214258279725584 0.15197989824319275 0.15046665113767085 0.15010260504628473 0.1522057977722538 0.15214258279725584 0.1508246463488143 0.1506619617947512 0.1491487146892293 0.14878466859784314 0.15204311321819067 0.15197989824319275 0.1506619617947512 0.15049927724068807 0.1489860301351662 0.14862198404378002 0.1505298661126688 0.15046665113767085 0.1491487146892293 0.1489860301351662 0.14747278302964428 0.14710873693825816 0.15016582002128265 0.15010260504628473 0.14878466859784314 0.14862198404378002 0.14710873693825816 0.14674469084687197 | -0.4500515961434934 0.05035045204462642 0.05621224616183737 -0.1072674805177995 -0.0021254718065173753 -0.12370859312875251 0.0685603174099095 -0.887626822081904 0.18922486179090633 -0.15845453734097834 -0.198154747821093 0.07403530965473072 0.11333326642431635 -0.08547211110771719 -0.5932020636251362 0.2692594988322172 0.18251138098974384 -0.09631415701768085 0.15666134969151965 0.008064164318190604 0.2460324966377614 0.9762025008776475 -0.0045828834975919185 0.3280486299473907 0.07517056278926901 0.14970345991197404 0.2634753791465531 -0.011961769697254706 0.41328430540687083 0.030036556428658483 0.17908059659320516 0.006753018914043401 -0.193754541184852 -0.10056881021960962 -0.11814926683111561 -0.4072182795185925 0.26244193133094135 -0.13860400493350997 0.12449775565818273 0.006002390399312653 -0.2334414951162719 -0.26401638803566113
