[-0.02811386,  0.54487592,  0.00828163,  0.01466763] | [-9.13403424e-02,  5.26873561e-01,  1.57560969e-04,  1.70903712e-01]
[0.76699243, 0.10353831, 0.04701201, 0.00367105] | [0.76174019, 0.14166014, 0.20392955, 0.25872377]
[ 0.16859567, -0.30421202, -0.01799085,  0.00222167] | [ 0.17599679, -0.32196906, -0.13851304,  0.15842201]
[-0.38181291, -0.26306072,  0.01942883, -0.00601311] | [-0.36507386, -0.22508368,  0.15053327, -0.11702201]
[ 0.05268253, -0.50702626,  0.00139473,  0.02908449] | [ 0.06040427, -0.5242447 ,  0.09161086,  0.13377881]
[-0.49380281, -0.27142566, -0.04687065, -0.00551282] | [-0.47311606, -0.24408082, -0.16135934,  0.19275627]
[ 0.70238164, -0.65781703, -0.07972084, -0.01854983] | [ 0.70759482, -0.68039437, -0.18806248, -0.15894435]
[-0.23852034, -0.3502995 , -0.04211057,  0.00233081] | [-0.1661104 , -0.37612604, -0.19455712,  0.14844464]
[-0.28100484, -0.49563571,  0.01620194,  0.00631907] | [-0.28904462, -0.49289603,  0.16441613,  0.16117314]
[-0.28328182,  0.12597941,  0.04266037, -0.01719849] | [-0.30019974,  0.11411818,  0.18604863, -0.2592923 ]
[-0.05880366, -0.82341991,  0.02778987,  0.04112202] | [-0.06132543, -0.84373597,  0.12606626,  0.15366863]
[-0.50947216,  0.6021075 ,  0.00356773,  0.02389285] | [-0.50096239,  0.62725007,  0.17236727,  0.13924322]
[0.06995984, 0.20023266, 0.02647491, 0.02746446] | [0.07667675, 0.26023565, 0.062971  , 0.15494995]
[ 3.58268709e-01,  1.45733579e-02,  3.35169613e-04, -1.87223966e-02] | [ 0.34521993,  0.02159312,  0.13657593, -0.26530622]
[-0.22639068, -0.16447946, -0.03385038,  0.01356779] | [-0.21340481, -0.15549131, -0.13089475,  0.36157664]
[ 0.60215834, -0.13124197,  0.04771436,  0.01971973] | [ 0.6197391 , -0.12818864,  0.16640095,  0.01845815]
[-0.53223543,  0.20276122,  0.04134966, -0.02148612] | [-0.52857245,  0.24215876,  0.1599893 , -0.09230323]
[ 0.21376038, -0.19660842,  0.01559261,  0.01283672] | [ 0.2068535 , -0.25155012,  0.18494358,  0.10054839]
[ 0.0186216 , -0.4852482 , -0.00858651,  0.0161244 ] | [-8.81518353e-08, -4.84891593e-01, -1.29666390e-02,  1.62377521e-01]
[-0.08113259, -0.32364013,  0.03382669, -0.00720444] | [-0.05724298, -0.33256565,  0.25669776, -0.1953942 ]
[-0.21617349, -0.64406396, -0.01333897,  0.05537457] | [-0.21878154, -0.64270678, -0.11888354,  0.18450213]
[ 0.03035727, -0.00568176, -0.01146627, -0.04380097] | [ 0.03290308, -0.00010225, -0.00107126, -0.04395751]
[ 1.35164863e-01,  1.45741623e-01, -1.02854617e-04,  1.90088531e-02] | [ 0.11998261,  0.18875725, -0.00042665,  0.13987456]
[-0.46968359, -0.55425673,  0.01120552,  0.00366523] | [-0.45434732, -0.58529   ,  0.23003475,  0.16203366]
[-0.49015359, -0.08700649,  0.0080116 , -0.0071018 ] | [-0.48779133,  0.04116466,  0.18213707, -4.51539904]
[-0.02715226, -0.94822983,  0.00521129, -0.00652564] | [-1.99616129e-06, -9.34054764e-01,  7.02266393e-03, -1.57565935e-01]
[ 0.86174384,  0.12082944, -0.04711382, -0.04067183] | [ 0.84851204,  0.27050097, -0.18944906, -0.05523343]
[-0.38982753,  0.76885498, -0.008428  , -0.0131621 ] | [-0.36896318,  0.75462253, -0.14501677, -0.16807624]
[-0.03138333,  0.24662137, -0.00190264,  0.04507713] | [-0.01898209,  0.25940149, -0.37055492,  0.14544679]
[-0.32389009,  0.10643917, -0.0035605 , -0.00074519] | [-0.31813494,  0.10894648, -0.19262254, -0.2124173 ]
[-0.10113035,  0.30590899,  0.01948403,  0.01170793] | [-0.08075027,  0.33744225,  0.19484616,  0.16835105]
[ 0.7051129 , -0.33903169, -0.00871388,  0.02896899] | [ 0.67308415, -0.35204556, -0.19071147,  0.15332892]
[ 0.73931502, -0.27231949,  0.0581024 ,  0.00832212] | [ 0.71980037, -0.27203265,  0.18926071,  0.18549264]
[ 0.65772296, -0.32050171,  0.04250854, -0.01398961] | [ 0.63788185, -0.32812965,  0.17853775, -0.12583783]
[-0.52377752,  0.78140346,  0.00883448, -0.0258236 ] | [-0.5059344 ,  0.76891992,  0.19280116, -0.1651984 ]
[ 0.90346896,  0.55902675,  0.02087434, -0.02864606] | [ 0.89310814,  0.56404676,  0.17057258, -0.14518535]
[-0.91147901, -0.42157765,  0.04867124, -0.01797109] | [-0.90790722, -0.43826682,  0.18736499, -0.155475  ]
[ 0.26619346, -0.47838162, -0.00440682,  0.01782303] | [ 0.26625922, -0.4865528 , -0.18358023,  0.15958039]
[ 0.53889265,  0.36282133, -0.00238536,  0.01421689] | [ 0.55376786,  0.37591551, -0.15298501,  0.1960279 ]
[ 0.30356073, -0.1026121 ,  0.01903612, -0.01758087] | [ 0.28990406, -0.07987667,  0.14568139, -0.21514962]
[-0.22029162, -0.78194175, -0.06356069,  0.00347929] | [-0.23305015, -0.78733191, -0.1407747 ,  0.12786044]
[-0.10977882, -0.30552289, -0.0177511 ,  0.02996179] | [-0.12865907, -0.3144514 , -0.14612776,  0.16279775]
[ 0.23202162, -0.20647486,  0.03337212,  0.0173542 ] | [ 0.21219962, -0.22801326,  0.16797145,  0.08989383]
[ 0.08909509, -0.16533343, -0.00583127, -0.04093542] | [ 0.07237431, -0.20969047, -0.24211075, -0.12909205]
[ 0.52377047, -0.45089397,  0.01417349, -0.01832972] | [ 0.50272143, -0.44159785,  0.15778189, -0.16719213]
[ 0.39678884,  0.08862007,  0.00209797, -0.07128805] | [ 0.41427827,  0.11010634,  0.14572103, -0.1048892 ]
[-0.43242461,  0.76390756, -0.02103941, -0.00180763] | [-0.41650105,  0.72267746, -0.18503313, -0.14960407]
[-0.42314861,  0.30290759,  0.03329845,  0.04426873] | [-0.39122962,  0.35110961,  0.18220473,  0.11358623]
[ 0.42700137,  0.83923817, -0.02137537, -0.03030001] | [ 0.41596352,  0.83968764, -0.15570588, -0.15049747]
[ 0.46217217,  0.90907258, -0.00355393, -0.02750223] | [ 0.45823013,  0.92778717, -0.17536737, -0.18653997]
[-3.57956242e-01, -1.18991032e+00,  1.98043715e-02,  9.68102222e-04] | [-0.36761548, -1.20274456,  0.14000314,  0.13708638]
[-0.44982204, -0.55910702,  0.03764409,  0.02812797] | [-0.44520311, -0.57342469,  0.17427377,  0.19250917]
[ 0.12071767, -0.65887688,  0.04204066, -0.0136183 ] | [ 0.08728887, -0.68481601,  0.22869424, -0.11998378]
[ 0.40481733, -0.81190452,  0.03146653,  0.03876125] | [ 0.39595122, -0.80268682,  0.14569614,  0.15226546]
[ 0.8615759 , -0.59589798,  0.06043045,  0.06755359] | [ 0.84636039, -0.61058459,  0.17457528,  0.14417096]
[-0.29800608, -0.03823759,  0.03593527,  0.03400933] | [-0.29344174, -0.08035037,  0.19032927, -0.00100156]
[0.36445447, 0.74146055, 0.04184946, 0.0125385 ] | [0.363745  , 0.73994943, 0.17385482, 0.19481873]
[ 0.45666801, -0.29917815,  0.02261159,  0.01426336] | [ 0.43160299, -0.27972929,  0.20239019,  0.17021216]
[ 1.19098595, -0.35053764,  0.01329554, -0.01270729] | [ 1.16930138, -0.37773814,  0.13487241, -0.12264886]
[ 0.18062361,  0.44009462,  0.04978332, -0.04288517] | [ 0.15882926,  0.43362279,  0.29236023, -0.20400782]
[-0.79016102, -0.07662617,  0.05160252,  0.03365615] | [-0.79024665, -0.1377961 ,  0.15106612,  0.22664613]
[ 0.64430348, -0.25269746,  0.02952025, -0.01207162] | [ 0.6366528 , -0.28461144,  0.14022025, -0.12272036]
