[ 0.14367766, -0.30502116, -0.05331635, -0.01856198] | [ 0.14289974, -0.30501892, -0.07773032, -0.21239629]
[ 0.10549806, -1.35813641, -0.02120112,  0.04610635] | [ 0.10547387, -1.35813746, -0.20462698,  0.25993273]
[ 0.23258943, -0.39997817, -0.00071675, -0.0441805 ] | [ 0.23258258, -0.39998066, -0.24350159, -0.24019235]
[-0.6090036 , -0.56832434, -0.01357623, -0.04220241] | [-0.609005  , -0.56832334, -0.1945355 , -0.26663114]
[ 0.49749187, -0.22405094, -0.02653664,  0.01571096] | [ 0.49748822, -0.22405635, -0.22971922,  0.21655808]
[ 0.06365079, -0.37920572, -0.01756581,  0.0578564 ] | [ 0.06366052, -0.3792047 , -0.25515084,  0.24849988]
[ 0.23799454,  0.15986079, -0.03035783,  0.04432641] | [ 0.23800015,  0.15985534, -0.25315085,  0.22003276]
[-0.36440687, -0.09308931,  0.0166224 , -0.03712096] | [-0.36440797, -0.09308673,  0.24147891, -0.26098237]
[ 0.07543642,  0.28698421,  0.01599795, -0.02952169] | [ 0.07544677,  0.2869822 ,  0.25192595, -0.21485721]
[ 0.47516707,  0.17415608, -0.02335153, -0.01257584] | [ 0.4751734 ,  0.17410624, -0.21764075, -0.23934007]
[ 0.24607289, -0.03283272, -0.06749085, -0.03910281] | [ 0.24609085, -0.03272324, -0.24104004, -0.22262923]
[-0.5361979 ,  0.08315093,  0.01582362,  0.01177287] | [-5.36210599e-01, -2.89462022e-07,  2.32183130e-01,  6.86651326e-02]
[ 0.43813252,  0.30702895, -0.04172665,  0.00146942] | [ 0.43809217,  0.30707291, -0.19472764,  0.24806842]
[0.2878513 , 0.0864322 , 0.01506863, 0.03484022] | [ 2.87859663e-01, -1.05011800e-06,  2.14934837e-01,  6.27362678e-02]
[ 0.36534896,  0.15750962, -0.01017513, -0.0035884 ] | [ 0.36534848,  0.15751043, -0.2366989 , -0.25898385]
[-0.27290043, -0.45755793,  0.0467958 , -0.0234132 ] | [-0.27290136, -0.45755751,  0.25322156, -0.20663684]
[ 0.71176381, -0.15736637,  0.01414527,  0.00460303] | [ 0.71176378, -0.1573432 ,  0.25789931,  0.21479713]
[ 0.24116647,  0.22782269, -0.01931377,  0.04017921] | [ 0.24116878,  0.22782132, -0.22385827,  0.23416595]
