[0.42820105, 0.80934855, 0.02611403, 0.00717396] | [0.42317061, 0.82542333, 0.29359909, 0.30827239]
[-0.29549366, -0.13464173,  0.05307199,  0.04639311] | [-0.25917969, -0.19210044,  0.33111446,  0.26653422]
[ 4.97420789e-01, -1.35577535e-01, -6.38367876e-02, -4.24843387e-04] | [ 0.48549573, -0.14135971, -0.34858898, -0.2530461 ]
[-0.33188641,  0.22685777, -0.02971931,  0.04402133] | [-0.31201871,  0.21014245, -0.35963048,  0.32228208]
[ 0.29528413,  0.79198362, -0.02533315,  0.01935192] | [ 0.33406631,  0.78709608, -0.28461628,  0.34279235]
[ 0.21137964, -0.52254973, -0.06753806, -0.03089717] | [ 0.21694412, -0.5124712 , -0.28450948, -0.29824648]
[-0.42277818, -0.22972334,  0.02986238, -0.01327834] | [-0.40498452, -0.24832388,  0.39627132, -0.33502427]
[-0.01940438,  0.3638956 ,  0.04865556, -0.05876813] | [-0.0203948 ,  0.35754663,  0.57858096, -0.31784644]
[ 0.02628264, -0.37921943, -0.04692938,  0.06940404] | [ 0.06846687, -0.37804298, -0.16782247,  0.30749078]
[ 0.74894579, -0.77076361, -0.05396969, -0.00351541] | [ 0.75235658, -0.79197794, -0.29349141, -0.29176939]
[-0.34631455, -0.35812482,  0.04512726,  0.07580547] | [-0.31444554, -0.34953096,  0.37660025,  0.3131874 ]
[ 0.49979468,  0.51938567,  0.01626065, -0.02517691] | [ 0.50172329,  0.52994893,  0.30551299, -0.2846154 ]
[ 0.52799183, -0.44615309,  0.01014731,  0.00352404] | [ 0.54186318, -0.43943694,  0.31926774,  0.32221597]
[-0.4951767 ,  0.10042674, -0.03162286,  0.0364088 ] | [-0.47081316,  0.19834252, -0.33706496,  0.17907335]
[-0.13114982, -0.04490424,  0.06816332, -0.03693303] | [-0.12917305, -0.0314571 ,  0.30793399, -0.44011812]
[-0.26484621,  0.13354224,  0.0010699 , -0.03602801] | [-0.24211856,  0.13457587,  0.37387087, -0.31418197]
[-0.82513406, -0.21232098, -0.03026011, -0.01391855] | [-0.81271183, -0.25093332, -0.31104823, -0.24590367]
