2 1 | 1.1255327046658883 0.7835419032420888 0.7096306256167657 -0.6754386031173254 -0.25897069021702906 0.40916005635382535 0.07544695916475405 0.2498734146855117 0.005158155315979031 0.06339181059573504 -0.1904823040565963 0.15208299286832538 | 1.125434531130778 0.7839344412118303 0.7122657367869328 0.6660083798550678 -0.2945324326037796 0.39675614160470596 0.42352251121460704 0.5351496875107574 0.24929743726702216 0.31608572927892103 -0.2260415717270284 0.37135945156003436 | 935.5055763042789 | 100
3 1 | -1.1722780060165876 -1.5462654190234353 0.5081199804746989 -0.7805984029484244 0.09828556332384143 0.553344378974956 -0.10574927293511477 0.3282654543984535 0.3832647376739846 0.0394731084036882 -0.27961619707125657 0.01796204746407994 | -1.17192292727796 -1.546746992194615 0.5027084381426692 -0.7783185284959376 0.10062802506877908 0.5533637241794044 0.16664791872457654 0.533937042785422 0.4649318519949812 0.7224658942251256 -0.2808538696599866 0.6355481826903165 | 4145.630410816369 | 100
7 1 | -1.2241401735877826 1.5969539186059247 0.15709546851538794 0.03679889919815299 -0.5511570189695942 -0.3166923524941389 -0.2769872699410683 0.16783096622573127 -0.09478267785531323 0.5605446503494728 -0.12841327992812698 0.06655785420400692 | -1.2240052688131904 1.5970358906005426 0.2141246417371879 0.03624304355399228 -0.5506978498630811 -0.347771584884622 -0.3576624895919655 0.3798836359854506 -0.16447332611813034 0.5606045010269337 -0.421033576400408 0.25836215171075594 | 1031.8607078834305 | 100
7 2 | 0.7155684216880026 -0.1530875463207415 0.04841754365758018 -0.5936483459372243 -0.8468444013681931 0.5480484585576079 0.12335543397025196 0.2101793869158547 -0.31664670922304355 -0.0026774152192682948 -0.004463125828243394 0.1562939032506469 | 0.7156536077398095 -0.19815401224988932 0.029668609904006292 -0.5856035066763184 0.8472418135679652 0.5478970901312058 0.3375197925302105 0.23903931091659003 -0.31897310463504885 -0.6025745057395232 -0.4371371608339783 0.4698555278600432 | 714.1135640008688 | 100
11 1 | 0.4694374218094566 -0.09887353926314055 -0.34389864630538564 0.5150443203447709 0.35524386983752704 1.3942158907133764 0.22895037413751118 0.3228069015301025 0.10596510805834411 0.24847079836241076 0.13856462733204272 -0.05135892012283907 | 0.4827196569293141 -0.10340460425721146 -0.384418531685123 0.514771571118584 -0.33338803921022986 1.3941877192195777 0.35410190786332674 0.3238052406443284 0.25443500853012974 0.5823413431728205 0.3248736421277237 -0.44242121430227793 | 1078.2036888727857 | 100
11 2 | 0.26779692023306356 0.5619658924290346 0.5613170946601279 -0.42473362439025053 -0.11980892442721568 0.1602693298800689 0.08764139939925537 0.23164760724840727 0.1787013443350954 0.36844997598075857 -0.2885220028717935 -0.16566254138389225 | -0.10570543751133583 0.5618648298119008 0.5609843077986516 -0.42914864825155763 -0.08356243846487002 0.08689979573844334 -0.1920355761566237 0.5633962693396596 0.43657007794507446 0.47672328800830277 -0.300662840902837 -0.15958500162733089 | 6568.029250618834 | 100
11 3 | 0.3943035614997818 -0.2861330193471057 -0.4130945594343369 -0.4310362381779424 0.6245633772468053 0.46578465360072596 0.11901830927120845 -0.08895391288749079 0.3328152775507833 -0.08902018355442345 0.29003812029142384 0.0997248423550727 | 0.39496436224723935 -0.27805734925606984 0.41305030268909126 0.43252770211608793 0.62507279677491 0.4680742414344907 0.46885864673384736 -0.3636386165244761 0.5570500010217027 0.664780876451885 0.4335560366757656 0.5896670101375907 | 826.3052504392862 | 100
11 4 | 0.5869226731375827 0.17049715358103235 0.20485421981370971 0.3219206333279464 -0.039266691701139944 0.19138997979217948 0.10316796231562865 -0.035709062005040725 -0.13602819520986092 -0.13339292159832591 0.3284709044313979 0.06194374627179786 | 0.5869794030666432 0.24914040885378966 0.2575583472495222 0.33054721639072976 -0.031839708074821685 0.2871383149398861 0.3718215914253921 -0.17881574710943263 -0.2033437578589766 -0.3049825519091095 0.3288749501531635 0.2129773305708883 | 167.14460934396186 | 100
12 1 | -0.3467780613113887 -0.05535076732943819 0.6151315116212116 -0.41229215431098765 -0.16784070754293334 -0.09198167947037983 0.2942024338065629 -0.01563763621832176 0.005504455083854626 -0.10498284473305983 0.0434210969504433 -0.1165475354308127 | -0.3642736317900446 -0.054574384334516966 0.6175000812308483 -0.41195451921345727 -0.20554881368741598 -0.10391628021753672 0.37791050237258533 -0.017273800900179714 0.42664807578940483 -0.4140774983523065 0.08693190111945079 -0.12592485819547874 | 1599.7655431199748 | 100
12 2 | 0.7142096088310833 0.34827104389693037 0.21557356739887085 1.1605043955371377 -0.4198126349890956 0.09681487355951057 -0.19799050617624805 0.3802502767537234 -0.07398711133441378 -0.022477371428071057 0.3150089769516727 0.13759569912432185 | 0.7145837474818618 0.3488624063215615 0.26835044942766056 1.1607577775033324 -0.42181702656552833 0.08123324363002904 -0.46484605935731615 0.4909134578621344 -0.1745073065819703 -0.3541165753494426 0.6157554895082336 0.12938079093531465 | 1043.1283732863646 | 100
12 3 | 1.1553997498268247 0.3033242538381371 -0.07129339839979344 0.8296120212270001 0.6664208444418711 -0.5666308395063926 -0.14368374006942713 -0.09816812373678456 -0.0761545486433003 0.053629065948370726 0.0058704023920732665 -0.16551611773844652 | 1.155312648110144 0.21341799197311462 -0.07344520541874351 0.8296653325077622 0.6808524909391472 -0.572392550496672 0.3015643833687316 -0.22341249216142786 -0.07838495609597837 0.13568063872584532 0.3400453291357901 -0.38915146976739745 | 1736.2533559161457 | 100
12 4 | 0.21442738715440138 -0.1910978286299843 0.29012676642604973 0.5257773068932696 -0.04552613483187641 0.008151592393972583 0.29966660508199033 -0.03364009144934258 0.09946617233234842 0.07202408750648975 0.013957954030548057 0.0342222988644352 | 0.2478969271281802 0.18108138334877977 0.35361900453430334 0.5257640918517724 -0.04705138881659755 0.008151061716302378 0.32600268641063956 0.23902177697600493 0.298594401511261 0.3321277845915915 0.014419026718066408 0.03422238624988482 | 456.7651911353523 | 100
12 5 | -0.19434915755411816 0.14271905931205894 0.17178837916581152 -0.7464589048842568 -1.2791025201774757 -0.2704780020700681 -0.27059418506017663 -0.09952442235302486 -0.09789689941739607 0.18098003680620384 0.03307864034387751 -0.021501727501912184 | -0.23014298033887112 0.2400262815804464 0.25703092839800795 0.7466669575757386 -1.2797642304543757 -0.311353966923003 -0.3010040923798941 -0.21558863851031446 -0.19752773507077892 0.49339562354319105 0.45088611872639134 -0.2734557533968123 | 3260.4647868688685 | 100
12 6 | -1.3006751005555433 -0.21086094957398815 0.5396377163660767 0.6504986899937689 -0.496151931074196 0.21113710240405406 -0.2419904151528421 -0.029429190240935776 0.13396936612655422 0.10884492551129993 0.23647114092445104 0.15032185065586073 | -1.301058784444755 0.2037936327739764 0.5428581699404891 0.6520903920853911 -0.4954967967945889 0.2628698685562424 -0.4217274905526398 -0.21563809858226873 0.4336800123470832 0.4786043953425067 0.3993699606247607 0.21578529423916484 | 1521.636266397766 | 100
12 7 | -0.15656401586550384 -0.6842719003659339 0.2675729485156442 0.09860117547685086 -0.6179173376471008 0.15919449196675847 0.02190104354042178 0.06579029351777961 0.1431091783192763 0.05256160531505184 -0.07969782104962811 -0.27583332034214775 | 0.03616553372478737 -0.7028262952612228 0.2335494770927258 0.10110421684151473 -0.6171161481833328 0.11269418715505966 0.04423464253409478 0.43258926973626105 0.35710487399788454 0.05722140854254998 -0.2643494016170478 -0.32667317602177093 | 11858.69060245907 | 100
